book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
ZB9sDwAAQBAJ,python,Clean Code in Python,Refactor your legacy code base,Mariano Anaya,"Getting the most out of Python to improve your codebase Key Features Save maintenance costs by learning to fix your legacy codebase Learn the principles and techniques of refactoring Apply microservices to your legacy systems by implementing practical techniques Book Description Python is currently used in many different areas such as software construction, systems administration, and data processing. In all of these areas, experienced professionals can find examples of inefficiency, problems, and other perils, as a result of bad code. After reading this book, readers will understand these problems, and more importantly, how to correct them. The book begins by describing the basic elements of writing clean code and how it plays an important role in Python programming. You will learn about writing efficient and readable code using the Python standard library and best practices for software design. You will learn to implement the SOLID principles in Python and use decorators to improve your code. The book delves more deeply into object oriented programming in Python and shows you how to use objects with descriptors and generators. It will also show you the design principles of software testing and how to resolve software problems by implementing design patterns in your code. In the final chapter we break down a monolithic application to a microservice one, starting from the code as the basis for a solid platform. By the end of the book, you will be proficient in applying industry approved coding practices to design clean, sustainable and readable Python code. What you will learn Set up tools to effectively work in a development environment Explore how the magic methods of Python can help us write better code Examine the traits of Python to create advanced object-oriented design Understand removal of duplicated code using decorators and descriptors Effectively refactor code with the help of unit tests Learn to implement the SOLID principles in Python Who this book is for This book will appeal to team leads, software architects and senior software engineers who would like to work on their legacy systems to save cost and improve efficiency. A strong understanding of Programming is assumed.",ISBN_13,True,True,328,Computers,en,http://books.google.com/books/content?id=ZB9sDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,39.99,USD,31.19,USD,https://play.google.com/store/books/details?id=ZB9sDwAAQBAJ&rdid=book-ZB9sDwAAQBAJ&rdot=1&source=gbs_api,2018-08-29,Packt Publishing Ltd
XAIHEAAAQBAJ,python,Learning Scientific Programming with Python,N/A,Christian Hill,"Learn to master basic programming tasks from scratch with real-life, scientifically relevant examples and solutions drawn from both science and engineering. Students and researchers at all levels are increasingly turning to the powerful Python programming language as an alternative to commercial packages and this fast-paced introduction moves from the basics to advanced concepts in one complete volume, enabling readers to gain proficiency quickly. Beginning with general programming concepts such as loops and functions within the core Python 3 language, and moving on to the NumPy, SciPy and Matplotlib libraries for numerical programming and data visualization, this textbook also discusses the use of Jupyter Notebooks to build rich-media, shareable documents for scientific analysis. The second edition features a new chapter on data analysis with the pandas library and comprehensive updates, and new exercises and examples. A final chapter introduces more advanced topics such as floating-point precision and algorithm stability, and extensive online resources support further study. This textbook represents a targeted package for students requiring a solid foundation in Python programming.",ISBN_13,False,True,572,Science,en,http://books.google.com/books/content?id=XAIHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,49.99,USD,49.99,USD,https://play.google.com/store/books/details?id=XAIHEAAAQBAJ&rdid=book-XAIHEAAAQBAJ&rdot=1&source=gbs_api,2020-11-12,Cambridge University Press
aJQILlLxRmAC,python,Python Programming,An Introduction to Computer Science,John M. Zelle,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0. It is difficult for many students to master basic concepts in computer science and programming. A large portion of the confusion can be blamed on the complexity of the tools and materials that are traditionally used to teach CS1 and CS2. This textbook was written with a single overarching goal: to present the core concepts of computer science as simply as possible without being simplistic.",ISBN_13,False,True,533,Computers,en,http://books.google.com/books/content?id=aJQILlLxRmAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,18,4.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2004,"Franklin, Beedle & Associates, Inc."
S_SJ2LaZH8EC,python,Python Cookbook,Recipes for Mastering Python 3,"David Beazley,Brian K. Jones","If you need help writing programs in Python 3, or want to update older Python 2 code, this book is just the ticket. Packed with practical recipes written and tested with Python 3.3, this unique cookbook is for experienced Python programmers who want to focus on modern tools and idioms. Inside, youâ??ll find complete recipes for more than a dozen topics, covering the core Python language as well as tasks common to a wide variety of application domains. Each recipe contains code samples you can use in your projects right away, along with a discussion about how and why the solution works. Topics include: Data Structures and Algorithms Strings and Text Numbers, Dates, and Times Iterators and Generators Files and I/O Data Encoding and Processing Functions Classes and Objects Metaprogramming Modules and Packages Network and Web Programming Concurrency Utility Scripting and System Administration Testing, Debugging, and Exceptions C Extensions",ISBN_13,True,True,1132,Computers,en,http://books.google.com/books/content?id=S_SJ2LaZH8EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,55.99,USD,55.99,USD,https://play.google.com/store/books/details?id=S_SJ2LaZH8EC&rdid=book-S_SJ2LaZH8EC&rdot=1&source=gbs_api,2013-05-10,"""O'Reilly Media, Inc."""
7GUKEAAAQBAJ,python,Beyond the Basic Stuff with Python,Best Practices for Writing Clean Code,Al Sweigart,"BRIDGE THE GAP BETWEEN NOVICE AND PROFESSIONAL You've completed a basic Python programming tutorial or finished Al Sweigart's bestseller, Automate the Boring Stuff with Python. What's the next step toward becoming a capable, confident software developer? Welcome to Beyond the Basic Stuff with Python. More than a mere collection of advanced syntax and masterful tips for writing clean code, you'll learn how to advance your Python programming skills by using the command line and other professional tools like code formatters, type checkers, linters, and version control. Sweigart takes you through best practices for setting up your development environment, naming variables, and improving readability, then tackles documentation, organization and performance measurement, as well as object-oriented design and the Big-O algorithm analysis commonly used in coding interviews. The skills you learn will boost your ability to program--not just in Python but in any language. You'll learn: Coding style, and how to use Python's Black auto-formatting tool for cleaner code Common sources of bugs, and how to detect them with static analyzers How to structure the files in your code projects with the Cookiecutter template tool Functional programming techniques like lambda and higher-order functions How to profile the speed of your code with Python's built-in timeit and cProfile modules The computer science behind Big-O algorithm analysis How to make your comments and docstrings informative, and how often to write them How to create classes in object-oriented programming, and why they're used to organize code Toward the end of the book you'll read a detailed source-code breakdown of two classic command-line games, the Tower of Hanoi (a logic puzzle) and Four-in-a-Row (a two-player tile-dropping game), and a breakdown of how their code follows the book's best practices. You'll test your skills by implementing the program yourself. Of course, no single book can make you a professional software developer. But Beyond the Basic Stuff with Python will get you further down that path and make you a better programmer, as you learn to write readable code that's easy to debug and perfectly Pythonic Requirements: Covers Python 3.6 and higher",ISBN_13,False,False,385,Computers,en,http://books.google.com/books/content?id=7GUKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2020-12-16,No Starch Press
J5Y2EAAAQBAJ,python,Python Object-Oriented Programming,Build robust and maintainable object-oriented Python applications and libraries,"Steven F. Lott,Dusty Phillips","A comprehensive guide to exploring modern Python through data structures, design patterns, and effective object-oriented techniques Key Features Build an intuitive understanding of object-oriented design, from introductory to mature programs Learn the ins and outs of Python syntax, libraries, and best practices Examine a machine-learning case study at the end of each chapter Book Description Object-oriented programming (OOP) is a popular design paradigm in which data and behaviors are encapsulated in such a way that they can be manipulated together. Python Object-Oriented Programming, Fourth Edition dives deep into the various aspects of OOP, Python as an OOP language, common and advanced design patterns, and hands-on data manipulation and testing of more complex OOP systems. These concepts are consolidated by open-ended exercises, as well as a real-world case study at the end of every chapter, newly written for this edition. All example code is now compatible with Python 3.9+ syntax and has been updated with type hints for ease of learning. Steven and Dusty provide a comprehensive, illustrative tour of important OOP concepts, such as inheritance, composition, and polymorphism, and explain how they work together with Python's classes and data structures to facilitate good design. In addition, the book also features an in-depth look at Python's exception handling and how functional programming intersects with OOP. Two very powerful automated testing systems, unittest and pytest, are introduced. The final chapter provides a detailed discussion of Python's concurrent programming ecosystem. By the end of the book, you will have a thorough understanding of how to think about and apply object-oriented principles using Python syntax and be able to confidently create robust and reliable programs. What you will learn Implement objects in Python by creating classes and defining methods Extend class functionality using inheritance Use exceptions to handle unusual situations cleanly Understand when to use object-oriented features, and more importantly, when not to use them Discover several widely used design patterns and how they are implemented in Python Uncover the simplicity of unit and integration testing and understand why they are so important Learn to statically type check your dynamic code Understand concurrency with asyncio and how it speeds up programs Who this book is for If you are new to object-oriented programming techniques, or if you have basic Python skills and wish to learn how and when to correctly apply OOP principles in Python, this is the book for you. Moreover, if you are an object-oriented programmer coming from other languages or seeking a leg up in the new world of Python, you will find this book a useful introduction to Python. Minimal previous experience with Python is necessary.",ISBN_13,True,True,715,Computers,en,http://books.google.com/books/content?id=J5Y2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,39.99,USD,31.19,USD,https://play.google.com/store/books/details?id=J5Y2EAAAQBAJ&rdid=book-J5Y2EAAAQBAJ&rdot=1&source=gbs_api,2021-07-02,Packt Publishing Ltd
9dW8DwAAQBAJ,python,Introducing Python,Modern Computing in Simple Packages,Bill Lubanovic,"Easy to understand and fun to read, this updated edition of Introducing Python is ideal for beginning programmers as well as those new to the language. Author Bill Lubanovic takes you from the basics to more involved and varied topics, mixing tutorials with cookbook-style code recipes to explain concepts in Python 3. End-of-chapter exercises help you practice what you’ve learned. You’ll gain a strong foundation in the language, including best practices for testing, debugging, code reuse, and other development tips. This book also shows you how to use Python for applications in business, science, and the arts, using various Python tools and open source packages.",ISBN_13,False,True,630,Computers,en,http://books.google.com/books/content?id=9dW8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2019-11-06,O'Reilly Media
zjqzDAEACAAJ,python,Python for Everybody,Exploring Data in Python 3,Charles R. Severance,"Python for Everybody is designed to introduce students to programming and software development through the lens of exploring data. You can think of the Python programming language as your tool to solve data problems that are beyond the capability of a spreadsheet.Python is an easy to use and easy to learn programming language that is freely available on Macintosh, Windows, or Linux computers. So once you learn Python you can use it for the rest of your career without needing to purchase any software.This book uses the Python 3 language. The earlier Python 2 version of this book is titled ""Python for Informatics: Exploring Information"".There are free downloadable electronic copies of this book in various formats and supporting materials for the book at www.pythonlearn.com. The course materials are available to you under a Creative Commons License so you can adapt them to teach your own Python course.",ISBN_10,False,False,242,"N,/,A",en,http://books.google.com/books/content?id=zjqzDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,5.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2016-04-09,N/A
EVuk7eqhWiwC,python,Gray Hat Python,Python Programming for Hackers and Reverse Engineers,Justin Seitz,"Python is fast becoming the programming language of choice for hackers, reverse engineers, and software testers because it's easy to write quickly, and it has the low-level support and libraries that make hackers happy. But until now, there has been no real manual on how to use Python for a variety of hacking tasks. You had to dig through forum posts and man pages, endlessly tweaking your own code to get everything working. Not anymore. Gray Hat Python explains the concepts behind hacking tools and techniques like debuggers, trojans, fuzzers, and emulators. But author Justin Seitz goes beyond theory, showing you how to harness existing Python-based security tools—and how to build your own when the pre-built ones won't cut it. You'll learn how to: –Automate tedious reversing and security tasks –Design and program your own debugger –Learn how to fuzz Windows drivers and create powerful fuzzers from scratch –Have fun with code and library injection, soft and hard hooking techniques, and other software trickery –Sniff secure traffic out of an encrypted web browser session –Use PyDBG, Immunity Debugger, Sulley, IDAPython, PyEMU, and more The world's best hackers are using Python to do their handiwork. Shouldn't you?",ISBN_13,True,True,220,Computers,en,http://books.google.com/books/content?id=EVuk7eqhWiwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,3.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2009-04-15,No Starch Press
6omNDQAAQBAJ,python,Python Data Science Handbook,Essential Tools for Working with Data,Jake VanderPlas,"For many researchers, Python is a first-class tool mainly because of its libraries for storing, manipulating, and gaining insight from data. Several resources exist for individual pieces of this data science stack, but only with the Python Data Science Handbook do you get them all—IPython, NumPy, Pandas, Matplotlib, Scikit-Learn, and other related tools. Working scientists and data crunchers familiar with reading and writing Python code will find this comprehensive desk reference ideal for tackling day-to-day issues: manipulating, transforming, and cleaning data; visualizing different types of data; and using data to build statistical or machine learning models. Quite simply, this is the must-have reference for scientific computing in Python. With this handbook, you’ll learn how to use: IPython and Jupyter: provide computational environments for data scientists using Python NumPy: includes the ndarray for efficient storage and manipulation of dense data arrays in Python Pandas: features the DataFrame for efficient storage and manipulation of labeled/columnar data in Python Matplotlib: includes capabilities for a flexible range of data visualizations in Python Scikit-Learn: for efficient and clean Python implementations of the most important and established machine learning algorithms",ISBN_13,True,True,609,Computers,en,http://books.google.com/books/content?id=6omNDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2016-11-21,"""O'Reilly Media, Inc."""
ygzJEAAAQBAJ,python,An Introduction to Statistical Learning,with Applications in Python,"Gareth James,Daniela Witten,Trevor Hastie,Robert Tibshirani,Jonathan Taylor","An Introduction to Statistical Learning provides an accessible overview of the field of statistical learning, an essential toolset for making sense of the vast and complex data sets that have emerged in fields ranging from biology to finance, marketing, and astrophysics in the past twenty years. This book presents some of the most important modeling and prediction techniques, along with relevant applications. Topics include linear regression, classification, resampling methods, shrinkage approaches, tree-based methods, support vector machines, clustering, deep learning, survival analysis, multiple testing, and more. Color graphics and real-world examples are used to illustrate the methods presented. This book is targeted at statisticians and non-statisticians alike, who wish to use cutting-edge statistical learning techniques to analyze their data. Four of the authors co-wrote An Introduction to Statistical Learning, With Applications in R (ISLR), which has become a mainstay of undergraduate and graduate classrooms worldwide, as well as an important reference book for data scientists. One of the keys to its success was that each chapter contains a tutorial on implementing the analyses and methods presented in the R scientific computing environment. However, in recent years Python has become a popular language for data science, and there has been increasing demand for a Python-based alternative to ISLR. Hence, this book (ISLP) covers the same materials as ISLR but with labs implemented in Python. These labs will be useful both for Python novices, as well as experienced users.",ISBN_13,False,True,617,Mathematics,en,http://books.google.com/books/content?id=ygzJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,FOR_SALE,True,99.0,USD,79.2,USD,https://play.google.com/store/books/details?id=ygzJEAAAQBAJ&rdid=book-ygzJEAAAQBAJ&rdot=1&source=gbs_api,2023-08-01,Springer Nature
7MmeyhTnqRkC,python,Dive Into Python,N/A,Mark Pilgrim,* Quick start to learning python—very example oriented approach * Book has its own Web site established by the author: http://diveintopython.org/ Author is well known in the Open Source community and the book has a unique quick approach to learning an object oriented language.,ISBN_13,False,True,419,Computers,en,http://books.google.com/books/content?id=7MmeyhTnqRkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2004-07-12,Apress
h-_sBQAAQBAJ,python,Beginning Programming with Python For Dummies,N/A,John Paul Mueller,"A step-by-step guide to the programming language explains its strength as a Web development tool, covering syntax, data types, modules, lists, classes, and real world examples.",ISBN_13,False,True,408,Computers,en,http://books.google.com/books/content?id=h-_sBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0.0,US,NOT_FOR_SALE,False,0.0,N/A,0.0,N/A,N/A,2014-09-22,John Wiley & Sons
KGIbfiiP1i4C,python,Natural Language Processing with Python,Analyzing Text with the Natural Language Toolkit,"Steven Bird,Ewan Klein,Edward Loper","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation. With it, you'll learn how to write Python programs that work with large collections of unstructured text. You'll access richly annotated datasets using a comprehensive range of linguistic data structures, and you'll understand the main algorithms for analyzing the content and structure of written communication. Packed with examples and exercises, Natural Language Processing with Python will help you: Extract information from unstructured text, either to guess the topic or identify ""named entities"" Analyze linguistic structure in text, including parsing and semantic analysis Access popular linguistic databases, including WordNet and treebanks Integrate techniques drawn from fields as diverse as linguistics and artificial intelligence This book will help you gain practical skills in natural language processing using the Python programming language and the Natural Language Toolkit (NLTK) open source library. If you're interested in developing web applications, analyzing multilingual news sources, or documenting endangered languages -- or if you're simply curious to have a programmer's perspective on how human language works -- you'll find Natural Language Processing with Python both fascinating and immensely useful.",ISBN_13,True,True,506,Computers,en,http://books.google.com/books/content?id=KGIbfiiP1i4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4,4.5,US,FOR_SALE,True,50.99,USD,50.99,USD,https://play.google.com/store/books/details?id=KGIbfiiP1i4C&rdid=book-KGIbfiiP1i4C&rdot=1&source=gbs_api,2009-06-12,"""O'Reilly Media, Inc."""
